recv_ts_iso,recv_ts_epoch,topic,node,epoch,t_ms,ct1_irms,ct2_irms,ct1_apparpower,ct2_apparpower,ct1_power,ct2_power,vrms
2026-02-25T14:58:58.750169+00:00,1772031538.750,home/load_meter/node_boiler/metrics,node_boiler,1772031538,51273,0.0,,0.0,,,,
2026-02-25T14:58:59.734571+00:00,1772031539.735,home/load_meter/node_boiler/metrics,node_boiler,1772031539,52273,0.0,,0.0,,,,
2026-02-25T14:59:00.801150+00:00,1772031540.801,home/load_meter/node_boiler/metrics,node_boiler,1772031540,53273,0.0,,0.0,,,,
2026-02-25T14:59:01.824592+00:00,1772031541.825,home/load_meter/node_boiler/metrics,node_boiler,1772031541,54273,0.0,,0.0,,,,
2026-02-25T14:59:02.637462+00:00,1772031542.637,home/load_meter/node_boiler/metrics,node_boiler,1772031542,55273,0.0,,0.0,,,,
2026-02-25T14:59:03.669138+00:00,1772031543.669,home/load_meter/node_boiler/metrics,node_boiler,1772031543,56273,0.0,,0.0,,,,
2026-02-25T14:59:04.693778+00:00,1772031544.694,home/load_meter/node_boiler/metrics,node_boiler,1772031544,57273,0.0,,0.0,,,,
2026-02-25T14:59:05.717341+00:00,1772031545.717,home/load_meter/node_boiler/metrics,node_boiler,1772031545,58273,0.0,,0.0,,,,
2026-02-25T14:59:06.739892+00:00,1772031546.740,home/load_meter/node_boiler/metrics,node_boiler,1772031546,59273,0.0,,0.0,,,,
2026-02-25T14:59:07.766904+00:00,1772031547.767,home/load_meter/node_boiler/metrics,node_boiler,1772031547,60273,0.0,,0.0,,,,
2026-02-25T14:59:08.789084+00:00,1772031548.789,home/load_meter/node_boiler/metrics,node_boiler,1772031548,61273,0.0,,0.0,,,,
2026-02-25T14:59:53.606840+00:00,1772031593.607,home/load_meter/node_boiler/metrics,node_boiler,1772031593,106274,0.0,,0.0,,,,
2026-02-25T14:59:54.658606+00:00,1772031594.659,home/load_meter/node_boiler/metrics,node_boiler,1772031594,107274,0.0,,0.0,,,,
2026-02-25T14:59:55.604947+00:00,1772031595.605,home/load_meter/node_boiler/metrics,node_boiler,1772031595,108274,0.0,,0.0,,,,
2026-02-25T14:59:56.783457+00:00,1772031596.783,home/load_meter/node_boiler/metrics,node_boiler,1772031596,109274,0.0,,0.0,,,,
2026-02-25T14:59:57.732830+00:00,1772031597.733,home/load_meter/node_boiler/metrics,node_boiler,1772031597,110274,0.0,,0.0,,,,
2026-02-25T14:59:58.657827+00:00,1772031598.658,home/load_meter/node_boiler/metrics,node_boiler,1772031598,111274,0.0,,0.0,,,,
2026-02-25T15:00:02.651806+00:00,1772031602.652,home/load_meter/node_boiler/metrics,node_boiler,1772031602,115275,0.0,,0.0,,,,
2026-02-25T15:00:03.678359+00:00,1772031603.678,home/load_meter/node_boiler/metrics,node_boiler,1772031603,116275,0.0,,0.0,,,,
2026-02-25T15:00:04.701058+00:00,1772031604.701,home/load_meter/node_boiler/metrics,node_boiler,1772031604,117275,0.0,,0.0,,,,
2026-02-25T15:00:05.724004+00:00,1772031605.724,home/load_meter/node_boiler/metrics,node_boiler,1772031605,118275,0.0,,0.0,,,,
2026-02-25T15:00:06.649231+00:00,1772031606.649,home/load_meter/node_boiler/metrics,node_boiler,1772031606,119275,0.0,,0.0,,,,
2026-02-25T15:00:07.667116+00:00,1772031607.667,home/load_meter/node_boiler/metrics,node_boiler,1772031607,120275,0.0,,0.0,,,,
2026-02-25T15:00:08.746700+00:00,1772031608.747,home/load_meter/node_boiler/metrics,node_boiler,1772031608,121275,0.0,,0.0,,,,
2026-02-25T15:00:09.817315+00:00,1772031609.817,home/load_meter/node_boiler/metrics,node_boiler,1772031609,122275,0.0,,0.0,,,,
